,Name,income,income_per_capita,employment_labor_force,employment_civilian_labor_force,employment_employed,employment_unemployed,employment_male_business_and_financial_operations_occupations,employment_male_computer_engineering_and_science_occupations,employment_male_computer_and_mathematical_occupations,employment_female_business_and_financial_operations_occupations,employment_female_computer_engineering_and_science_occupations,employment_female_computer_and_mathematical_occupations,poverty,age,population,median_gross_rent,median_home_value,education_none,education_high_school,education_ged,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,state,Year
41,South Dakota,49091.0,25570.0,441775.0,438374.0,416687.0,21687.0,6071.0,11310.0,4042.0,8683.0,3718.0,1765.0,108319.0,37.1,815871.0,617.0,129800.0,2567.0,146243.0,23321.0,52449.0,97147.0,28292.0,7730.0,5354.0,46,2012
42,Tennessee,44140.0,24294.0,3137286.0,3120089.0,2815491.0,304598.0,50540.0,82371.0,34830.0,62714.0,27598.0,14275.0,1069017.0,38.0,6353226.0,726.0,138700.0,46664.0,1146697.0,254534.0,264506.0,644834.0,242471.0,66347.0,45022.0,47,2012
43,Texas,51563.0,25809.0,12507191.0,12401364.0,11440956.0,960408.0,242574.0,451064.0,200880.0,285460.0,136287.0,71439.0,4270218.0,33.6,25208897.0,834.0,128000.0,297232.0,3261784.0,724833.0,1014456.0,2761112.0,983558.0,238370.0,156768.0,48,2012
44,Vermont,54168.0,28846.0,350996.0,350410.0,327499.0,22911.0,5829.0,12511.0,4896.0,8040.0,4889.0,2176.0,69411.0,41.7,625498.0,864.0,215800.0,1998.0,118690.0,16044.0,37156.0,89459.0,41527.0,9638.0,7000.0,50,2012
45,Utah,58164.0,23794.0,1368252.0,1361725.0,1265221.0,96504.0,31463.0,61327.0,31599.0,28605.0,14853.0,7434.0,329564.0,29.3,2766233.0,839.0,217800.0,11108.0,332846.0,43994.0,147401.0,317521.0,108029.0,25576.0,20059.0,49,2012
46,Virginia,63636.0,33326.0,4276515.0,4154410.0,3867416.0,286994.0,105876.0,221283.0,129878.0,129880.0,81397.0,53187.0,859032.0,37.4,8014955.0,1060.0,249700.0,58499.0,1152281.0,200066.0,367443.0,1085567.0,559558.0,129621.0,82831.0,51,2012
47,Washington,59374.0,30661.0,3511749.0,3459542.0,3150493.0,309049.0,67849.0,181449.0,92440.0,84707.0,55810.0,27132.0,853960.0,37.2,6738714.0,951.0,272900.0,48253.0,890248.0,173270.0,426976.0,910457.0,360748.0,91015.0,60889.0,53,2012
48,West Virginia,40400.0,22482.0,827489.0,825927.0,760812.0,65115.0,10504.0,21348.0,7748.0,13714.0,6408.0,3041.0,316526.0,41.3,1850481.0,594.0,97300.0,11361.0,443920.0,84954.0,78939.0,142236.0,62806.0,16381.0,9995.0,54,2012
49,Wisconsin,52627.0,27426.0,3090671.0,3086774.0,2856318.0,230456.0,52923.0,102211.0,44362.0,72554.0,36720.0,18588.0,690832.0,38.5,5687219.0,749.0,169000.0,30084.0,1125097.0,133851.0,355884.0,663920.0,242679.0,58562.0,38052.0,55,2012
50,Wyoming,56573.0,28858.0,307324.0,304384.0,288847.0,15537.0,3653.0,9018.0,2090.0,4875.0,2306.0,780.0,60636.0,36.9,562803.0,733.0,184400.0,1254.0,92772.0,20581.0,37126.0,60011.0,21694.0,4711.0,3615.0,56,2012
51,Puerto Rico,19515.0,10850.0,1365560.0,1363646.0,1121428.0,242218.0,23035.0,22350.0,7490.0,30675.0,10407.0,3148.0,1658412.0,37.0,3716727.0,449.0,121500.0,75374.0,545104.0,82504.0,212451.0,401067.0,99711.0,29776.0,18276.0,72,2012
52,Alabama,43253.0,23680.0,2259344.0,2244093.0,2002163.0,241930.0,30946.0,68603.0,27681.0,43387.0,21423.0,11400.0,870631.0,38.1,4799277.0,705.0,122500.0,40711.0,818315.0,173415.0,236473.0,458393.0,187852.0,45646.0,30801.0,01,2013
53,Alaska,70760.0,32651.0,393037.0,376305.0,343366.0,32939.0,5998.0,14492.0,3879.0,8892.0,4603.0,1165.0,69514.0,33.6,720316.0,1098.0,241800.0,2796.0,101267.0,22792.0,36351.0,80447.0,31988.0,7431.0,5068.0,02,2013
